Datetime,Open,High,Low,Close,Volume,IsGap
2011-09-06 00:00:00-04:00,89.36,91.53,89.35,91.39,285130500,False
2011-09-07 00:00:00-04:00,92.77,94.01,92.46,93.97,209803200,False
2011-09-08 00:00:00-04:00,93.41,94.48,92.78,92.99,250568200,False
2011-09-09 00:00:00-04:00,91.93,93.01,90.06,90.56,380195100,False
2011-09-12 00:00:00-04:00,89.42,91.21,89.1,91.14,305793500,False
2011-09-13 00:00:00-04:00,91.44,92.32,90.79,91.98,272514700,False
2011-09-14 00:00:00-04:00,92.45,94.37,91.18,93.25,319389500,False
2011-09-15 00:00:00-04:00,94.25,94.89,93.27,94.86,326777200,False
2011-09-16 00:00:00-04:00,95.24,95.78,94.48,95.42,284528300,False
2011-09-19 00:00:00-04:00,93.86,94.96,93.22,94.47,241517000,False
2011-09-20 00:00:00-04:00,94.87,95.79,94.24,94.36,218932200,False
2011-09-21 00:00:00-04:00,94.41,94.7,91.43,91.58,316251300,False
2011-09-22 00:00:00-04:00,88.93,89.68,87.4,88.62,513911300,False
2011-09-23 00:00:00-04:00,88.03,89.64,87.96,89.16,307242500,False
2011-09-26 00:00:00-04:00,90.0,91.4,88.72,91.28,260673700,False
2011-09-27 00:00:00-04:00,93.07,93.88,91.75,92.3,311753900,False
2011-09-28 00:00:00-04:00,92.49,93.04,90.28,90.41,286696800,False
2011-09-29 00:00:00-04:00,91.91,92.37,89.46,91.13,298108900,False
2011-09-30 00:00:00-04:00,89.87,90.66,88.79,88.85,288392300,False
2011-10-03 00:00:00-04:00,88.33,89.48,86.23,86.32,365136800,False
2011-10-04 00:00:00-04:00,85.08,88.4,84.36,88.21,459177500,False
2011-10-05 00:00:00-04:00,88.43,90.08,87.62,89.85,284108000,False
2011-10-06 00:00:00-04:00,89.8,91.61,89.13,91.47,257800800,False
2011-10-07 00:00:00-04:00,92.01,92.07,90.35,90.86,312657900,False
2011-10-10 00:00:00-04:00,92.41,93.94,92.4,93.9,230666300,False
2011-10-11 00:00:00-04:00,93.34,94.26,93.25,93.99,209088000,False
2011-10-12 00:00:00-04:00,94.7,95.91,94.49,94.82,281544900,False
2011-10-13 00:00:00-04:00,94.26,94.91,93.54,94.63,212538800,False
2011-10-14 00:00:00-04:00,95.73,96.27,95.19,96.25,211397600,False
2011-10-17 00:00:00-04:00,95.79,96.23,94.17,94.41,202311600,False
2011-10-18 00:00:00-04:00,94.34,96.98,93.6,96.25,318857900,False
2011-10-19 00:00:00-04:00,96.1,96.65,94.79,95.12,226601300,False
2011-10-20 00:00:00-04:00,95.35,95.88,94.09,95.53,262075600,False
2011-10-21 00:00:00-04:00,96.65,97.46,96.36,97.35,278999400,False
2011-10-24 00:00:00-04:00,97.5,98.78,97.42,98.54,203215600,False
2011-10-25 00:00:00-04:00,98.07,98.12,96.41,96.62,268596800,False
2011-10-26 00:00:00-04:00,97.64,97.97,95.96,97.61,289053800,False
2011-10-27 00:00:00-04:00,100.22,101.63,99.42,101.01,393220200,False
2011-10-28 00:00:00-04:00,100.51,101.18,100.35,100.98,225906500,False
2011-10-31 00:00:00-04:00,99.85,101.0,98.41,98.55,228146700,False
2011-11-01 00:00:00-04:00,95.82,96.98,95.42,95.8,416565800,False
2011-11-02 00:00:00-04:00,97.24,97.68,96.42,97.36,244717600,False
2011-11-03 00:00:00-04:00,98.37,99.33,97.06,99.14,291174800,False
2011-11-04 00:00:00-04:00,98.34,98.7,97.38,98.53,249401600,False
2011-11-07 00:00:00-05:00,98.46,99.25,97.53,99.14,196617200,False
2011-11-08 00:00:00-05:00,99.66,100.53,98.71,100.42,224426300,False
2011-11-09 00:00:00-05:00,98.07,98.78,96.47,96.71,337982000,False
2011-11-10 00:00:00-05:00,97.99,98.11,96.6,97.62,231866500,False
2011-11-11 00:00:00-05:00,98.81,99.72,98.78,99.46,189924400,False
2011-11-14 00:00:00-05:00,99.09,100.08,98.09,98.52,159258300,False
2011-11-15 00:00:00-05:00,98.29,99.53,97.93,99.0,184709400,False
2011-11-16 00:00:00-05:00,98.01,99.21,97.29,97.43,235782500,False
2011-11-17 00:00:00-05:00,97.25,97.5,95.19,95.89,331219600,False
2011-11-18 00:00:00-05:00,96.19,96.39,95.38,95.78,215580400,False
2011-11-21 00:00:00-05:00,94.39,94.5,93.17,93.96,229611600,False
2011-11-22 00:00:00-05:00,93.76,94.31,93.07,93.59,216494900,False
2011-11-23 00:00:00-05:00,92.71,93.59,91.53,91.53,224329100,False
2011-11-25 00:00:00-05:00,91.39,92.42,91.24,91.35,99557000,False
2011-11-28 00:00:00-05:00,93.87,94.37,93.3,94.0,210686000,False
2011-11-29 00:00:00-05:00,94.27,95.01,93.92,94.27,199241500,False
2011-11-30 00:00:00-05:00,96.97,98.33,94.23,98.15,324439500,False
2011-12-01 00:00:00-05:00,98.04,98.66,97.71,98.13,176954800,False
2011-12-02 00:00:00-05:00,99.03,99.33,97.98,98.04,221109700,False
2011-12-05 00:00:00-05:00,99.6,99.87,98.5,99.11,225263900,False
2011-12-06 00:00:00-05:00,99.1,99.81,98.75,99.14,178842100,False
2011-12-07 00:00:00-05:00,98.81,99.93,98.13,99.51,237802500,False
2011-12-08 00:00:00-05:00,98.86,99.08,97.09,97.33,240862800,False
2011-12-09 00:00:00-05:00,97.77,99.23,97.68,98.98,209111400,False
2011-12-12 00:00:00-05:00,98.12,98.13,96.71,97.53,215826100,False
2011-12-13 00:00:00-05:00,98.04,98.6,96.15,96.62,245159800,False
2011-12-14 00:00:00-05:00,96.24,96.61,95.38,95.59,238618800,False
2011-12-15 00:00:00-05:00,96.61,96.74,95.79,95.94,199109200,False
2011-12-16 00:00:00-05:00,96.59,97.16,95.85,96.08,220481400,False
2011-12-19 00:00:00-05:00,96.45,96.66,94.85,95.06,183903000,False
2011-12-20 00:00:00-05:00,96.55,98.1,95.12,97.93,225418100,False
2011-12-21 00:00:00-05:00,97.93,98.27,97.0,98.12,194230900,False
2011-12-22 00:00:00-05:00,98.48,99.09,98.17,98.99,119465400,False
2011-12-23 00:00:00-05:00,99.31,99.91,99.1,99.88,92187200,False
2011-12-27 00:00:00-05:00,99.7,100.22,99.61,99.95,86075700,False
2011-12-28 00:00:00-05:00,99.97,99.99,98.56,98.64,119107100,False
2011-12-29 00:00:00-05:00,98.97,99.77,98.67,99.66,123507200,False
2011-12-30 00:00:00-05:00,99.58,99.83,99.17,99.17,95599000,False
2012-01-03 00:00:00-05:00,100.96,101.45,100.7,100.75,193697900,False
2012-01-04 00:00:00-05:00,100.52,101.0,100.13,100.91,127186500,False
2012-01-05 00:00:00-05:00,100.37,101.33,99.91,101.18,173895000,False
2012-01-06 00:00:00-05:00,101.31,101.32,100.59,100.92,148050000,False
2012-01-09 00:00:00-05:00,101.15,101.29,100.68,101.16,99530200,False
2012-01-10 00:00:00-05:00,102.25,102.45,101.9,102.04,115282000,False
2012-01-11 00:00:00-05:00,101.72,102.23,101.56,102.1,111540700,False
2012-01-12 00:00:00-05:00,102.39,102.49,101.57,102.34,118983700,False
2012-01-13 00:00:00-05:00,101.65,101.98,100.93,101.81,179836200,False
2012-01-17 00:00:00-05:00,102.79,102.98,101.86,102.21,132209200,False
2012-01-18 00:00:00-05:00,102.18,103.39,102.0,103.34,163395200,False
2012-01-19 00:00:00-05:00,103.69,103.97,103.36,103.88,126328900,False
2012-01-20 00:00:00-05:00,103.71,104.27,103.46,104.27,138230200,False
2012-01-23 00:00:00-05:00,103.92,104.51,103.5,104.0,129295800,False
2012-01-24 00:00:00-05:00,103.36,103.91,103.2,103.88,103083300,False
2012-01-25 00:00:00-05:00,103.72,105.0,103.32,104.75,198613200,False
2012-01-26 00:00:00-05:00,105.22,105.42,103.8,104.21,184880500,False
2012-01-27 00:00:00-05:00,103.71,104.35,103.64,104.17,135259100,False
2012-01-30 00:00:00-05:00,103.13,103.87,102.78,103.81,147311800,False
2012-01-31 00:00:00-05:00,104.32,104.45,103.27,103.77,157212000,False
